OCC_CODE,OCC_TITLE,occ_major_group,AIOE,AIOE_z,UAIOE,UAIOE_ev,AIOE_rank,UAIOE_rank,rank_diff,cluster,cluster_label
47-2121,Glaziers,Construction,-1.388901,-1.3897990875231434,-0.9727878529275431,-1.0609973042811194,602,504,-98,0,Low Exposure Manual & Technical
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",Construction,-1.618772,-1.619818727240519,-1.4616050293418068,-1.2909609443069132,625,627,2,4,Low Exposure Routine Service
47-2132,"Insulation Workers, Mechanical",Construction,-1.268615,-1.269435307911778,-1.074443896118719,-1.039678694380363,588,536,-52,0,Low Exposure Manual & Technical
47-2141,"Painters, Construction and Maintenance",Construction,-1.58799,-1.5890168229125252,-0.8335566131031684,-0.9292767912675778,622,468,-154,0,Low Exposure Manual & Technical
47-2142,Paperhangers,Construction,-1.72753,-1.7286470525898772,-1.3065481457559214,-0.9295143902185838,633,593,-40,4,Low Exposure Routine Service
47-2151,Pipelayers,Construction,-1.225611,-1.2264035005658926,-1.2537594665656007,-0.965238830515599,582,580,-2,4,Low Exposure Routine Service
47-2152,"Plumbers, Pipefitters, and Steamfitters",Construction,-1.121219,-1.1219439983695465,-0.9004432056843995,-1.10320652646482,554,486,-68,0,Low Exposure Manual & Technical
47-2161,Plasterers and Stucco Masons,Construction,-1.755588,-1.7567231955186942,-1.2260077616693055,-1.2809741931114067,639,575,-64,0,Low Exposure Manual & Technical
47-2171,Reinforcing Iron and Rebar Workers,Construction,-1.970997,-1.9722714837842,-1.6118022008805721,-1.5388681159799442,653,640,-13,0,Low Exposure Manual & Technical
47-2181,Roofers,Construction,-1.752941,-1.7540744839094355,-1.3383425129058035,-1.5671501169384026,637,599,-38,0,Low Exposure Manual & Technical
47-2211,Sheet Metal Workers,Construction,-1.174972,-1.1757317562586584,-0.6999328708450434,-1.2436828059427096,568,435,-133,0,Low Exposure Manual & Technical
47-2221,Structural Iron and Steel Workers,Construction,-1.780065,-1.7812160228930136,-1.7508367753948353,-1.9378764468863612,643,650,7,0,Low Exposure Manual & Technical
47-2231,Solar Photovoltaic Installers,Construction,-0.9441692,-0.9447797140186134,-0.9843252442204473,-1.107592155988819,502,510,8,0,Low Exposure Manual & Technical
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Construction,-1.94229,-1.9435459211975028,-1.623700350270462,-1.6072453989607103,651,641,-10,0,Low Exposure Manual & Technical
47-3012,Helpers--Carpenters,Construction,-1.425282,-1.4262036122894597,-1.4187580710638275,-1.2860660121730816,610,618,8,0,Low Exposure Manual & Technical
47-3013,Helpers--Electricians,Construction,-1.506896,-1.5078703857227933,-0.7672658676944486,-1.2655207727176339,614,455,-159,0,Low Exposure Manual & Technical
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Construction,-2.04484,-2.046162232315551,-1.6514327174402432,-1.1415268472371805,654,645,-9,4,Low Exposure Routine Service
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Construction,-1.678876,-1.6799615918279316,-1.203939030969562,-1.095570013916476,629,568,-61,0,Low Exposure Manual & Technical
47-3016,Helpers--Roofers,Construction,-1.89822,-1.8994474245522333,-1.1704109507192104,-1.4385934152445041,648,563,-85,0,Low Exposure Manual & Technical
47-4011,Construction and Building Inspectors,Construction,0.2860245,0.2862094566753193,0.3059308032441658,0.07662849155258035,266,274,8,1,Moderate Exposure Service & Healthcare
