OCC_CODE,OCC_TITLE,occ_major_group,AIOE,AIOE_z,UAIOE,UAIOE_ev,AIOE_rank,UAIOE_rank,rank_diff,cluster,cluster_label
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Architecture & Engineering,0.9948935,0.9955368271866764,0.9419279397772559,0.6595038699202528,170,158,-12,3,Highest Exposure Knowledge & Management
17-2112,Industrial Engineers,Architecture & Engineering,1.13787,1.1386057789816018,0.8272966762414498,0.6826913879168313,137,181,44,3,Highest Exposure Knowledge & Management
17-2121,Marine Engineers and Naval Architects,Architecture & Engineering,0.5472173,0.5475711497674122,0.20871256234589708,-0.08552563895100712,235,292,57,1,Moderate Exposure Service & Healthcare
17-2131,Materials Engineers,Architecture & Engineering,1.037278,1.0379487339500395,0.9326307232192682,0.6215078402333665,158,160,2,3,Highest Exposure Knowledge & Management
17-2141,Mechanical Engineers,Architecture & Engineering,1.004709,1.0053586741079754,0.8624593094616257,0.666806921535237,169,176,7,3,Highest Exposure Knowledge & Management
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",Architecture & Engineering,1.34695,1.3478209747744982,1.3675946068388065,1.0869566855797017,56,53,-3,3,Highest Exposure Knowledge & Management
17-2161,Nuclear Engineers,Architecture & Engineering,1.303009,1.303851561543507,1.1968428086256062,1.0166164852104838,83,100,17,3,Highest Exposure Knowledge & Management
17-2171,Petroleum Engineers,Architecture & Engineering,1.247779,1.2485858485932406,1.3557078881553952,1.2273481751864732,107,58,-49,3,Highest Exposure Knowledge & Management
17-2199,"Energy Engineers, Except Wind and Solar",Architecture & Engineering,0.787566,0.7880752645993812,0.7661132435254304,0.592601140140048,205,201,-4,3,Highest Exposure Knowledge & Management
17-3011,Architectural and Civil Drafters,Architecture & Engineering,0.9233925,0.9239895930447792,0.4302876946730921,0.6002262048716728,183,260,77,2,High Exposure Analytical & Office
17-3012,Electrical and Electronics Drafters,Architecture & Engineering,0.910166,0.9107545404947756,0.5131882726795154,0.7253599986015699,184,245,61,2,High Exposure Analytical & Office
17-3013,Mechanical Drafters,Architecture & Engineering,0.8410071,0.8415509208069942,0.35697365192580377,0.6404936993962855,196,268,72,2,High Exposure Analytical & Office
17-3021,Aerospace Engineering and Operations Technologists and Technicians,Architecture & Engineering,0.3909402,0.3911929975077698,0.23197639291355082,0.06149949901497958,256,290,34,1,Moderate Exposure Service & Healthcare
17-3022,Civil Engineering Technologists and Technicians,Architecture & Engineering,0.9323219,0.932924766994048,0.6428902051791247,0.6849639995256948,181,223,42,2,High Exposure Analytical & Office
17-3023,Electrical and Electronic Engineering Technologists and Technicians,Architecture & Engineering,0.3515252,0.3517525108893605,0.08291913589019921,-0.04207764006942563,261,319,58,1,Moderate Exposure Service & Healthcare
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,Architecture & Engineering,-0.3040507,-0.3042472991144855,-0.4106178144095492,-0.7097069638099688,356,382,26,0,Low Exposure Manual & Technical
17-3025,Environmental Engineering Technologists and Technicians,Architecture & Engineering,0.0438054,0.0438337324009787,-0.18696127000849644,-0.16273384438586877,300,358,58,1,Moderate Exposure Service & Healthcare
17-3026,Industrial Engineering Technologists and Technicians,Architecture & Engineering,0.6106679,0.6110627783410526,0.17176777850165642,-0.0826285624324012,229,303,74,1,Moderate Exposure Service & Healthcare
17-3027,Mechanical Engineering Technologists and Technicians,Architecture & Engineering,-0.1192367,-0.1193137942586011,-0.1753749675099605,-0.45740767192540593,323,357,34,1,Moderate Exposure Service & Healthcare
17-3031,Surveying and Mapping Technicians,Architecture & Engineering,0.0852324,0.0852875200234788,-0.28606901009403196,-0.11111168396229967,291,367,76,0,Low Exposure Manual & Technical
19-1011,Animal Scientists,"Life, Physical & Social Science",1.041358,1.0420313721690708,1.0550251487560245,0.6811639420939272,155,131,-24,3,Highest Exposure Knowledge & Management
19-1012,Food Scientists and Technologists,"Life, Physical & Social Science",0.7943575,0.79487115613481,0.8581757695971359,0.5017669645021426,204,177,-27,3,Highest Exposure Knowledge & Management
19-1013,Soil and Plant Scientists,"Life, Physical & Social Science",0.6320696,0.6324783171577775,0.7570552137172175,0.32535948217337035,226,205,-21,1,Moderate Exposure Service & Healthcare
19-1021,Biochemists and Biophysicists,"Life, Physical & Social Science",0.9060509,0.9066367795793014,1.2792722851832303,0.7427944808974398,186,84,-102,3,Highest Exposure Knowledge & Management
19-1022,Microbiologists,"Life, Physical & Social Science",0.6955647,0.6960144745061108,0.6879213822616611,0.447879842768366,219,213,-6,1,Moderate Exposure Service & Healthcare
19-1023,Zoologists and Wildlife Biologists,"Life, Physical & Social Science",0.3175953,0.3178006710589924,0.5580779155415445,0.1470391474797648,263,239,-24,1,Moderate Exposure Service & Healthcare
19-1029,Bioinformatics Scientists,"Life, Physical & Social Science",1.010193,1.0108462201847317,1.2818813392345896,0.9259588073490459,168,83,-85,3,Highest Exposure Knowledge & Management
19-1031,Conservation Scientists,"Life, Physical & Social Science",0.0690313,0.0690759440307473,0.4305592664032151,0.039265138349036305,294,259,-35,1,Moderate Exposure Service & Healthcare
19-1032,Foresters,"Life, Physical & Social Science",-0.184381,-0.1845002180164506,0.18274758375783465,-0.27117199376087964,334,301,-33,1,Moderate Exposure Service & Healthcare
19-1041,Epidemiologists,"Life, Physical & Social Science",1.436287,1.437215742071944,1.891593641034235,1.6574053160402509,16,2,-14,3,Highest Exposure Knowledge & Management
19-1042,"Medical Scientists, Except Epidemiologists","Life, Physical & Social Science",1.279928,1.2807556368539343,1.192354217993681,1.1109416536080003,98,102,4,3,Highest Exposure Knowledge & Management
19-2011,Astronomers,"Life, Physical & Social Science",1.373737,1.3746252958463572,1.433351402390751,1.286330269356268,39,45,6,3,Highest Exposure Knowledge & Management
19-2012,Physicists,"Life, Physical & Social Science",1.345736,1.346606189775012,1.5036800053670727,1.3135640029204418,57,33,-24,3,Highest Exposure Knowledge & Management
19-2021,Atmospheric and Space Scientists,"Life, Physical & Social Science",1.373917,1.3748054122383735,1.3772297539914935,1.4048176354988058,38,50,12,3,Highest Exposure Knowledge & Management
19-2031,Chemists,"Life, Physical & Social Science",0.5011251,0.5014491455225043,0.5591105604880475,0.38882556475017893,244,237,-7,1,Moderate Exposure Service & Healthcare
19-2032,Materials Scientists,"Life, Physical & Social Science",1.032757,1.0334248105705692,0.9687359240568582,0.9041556030392719,160,154,-6,3,Highest Exposure Knowledge & Management
19-2041,"Environmental Scientists and Specialists, Including Health","Life, Physical & Social Science",1.014113,1.014768754944193,1.1316231233595142,1.080774841422206,166,113,-53,3,Highest Exposure Knowledge & Management
19-2042,"Geoscientists, Except Hydrologists and Geographers","Life, Physical & Social Science",0.7143481,0.7148100202716373,0.9365113600236823,0.6032899242338178,214,159,-55,3,Highest Exposure Knowledge & Management
19-2043,Hydrologists,"Life, Physical & Social Science",0.6405071,0.640921273033531,0.8806588203875602,0.5656675488070896,224,172,-52,3,Highest Exposure Knowledge & Management
19-2099,Remote Sensing Scientists and Technologists,"Life, Physical & Social Science",1.140157,1.1408942578068284,1.2929053290757795,1.087113063815589,136,76,-60,3,Highest Exposure Knowledge & Management
19-3011,Economists,"Life, Physical & Social Science",1.403764,1.4046717119745058,1.5233777765292689,1.7439850350308645,26,29,3,3,Highest Exposure Knowledge & Management
19-3022,Survey Researchers,"Life, Physical & Social Science",1.42653,1.4274524329780505,1.7265149653289182,1.67347990998752,20,6,-14,3,Highest Exposure Knowledge & Management
19-3032,Industrial-Organizational Psychologists,"Life, Physical & Social Science",1.402475,1.4033818784783465,2.005276387581754,1.8007221070882902,27,1,-26,3,Highest Exposure Knowledge & Management
19-3039,Neuropsychologists,"Life, Physical & Social Science",1.389854,1.3907527174581522,1.4650859511509455,1.3217063946949847,32,40,8,3,Highest Exposure Knowledge & Management
19-3041,Sociologists,"Life, Physical & Social Science",1.411125,1.412037471761341,1.5661953058702724,1.674716244291635,24,21,-3,3,Highest Exposure Knowledge & Management
19-3051,Urban and Regional Planners,"Life, Physical & Social Science",1.227516,1.228309746085342,1.5879449266013432,1.3830229295377559,112,18,-94,3,Highest Exposure Knowledge & Management
19-3091,Anthropologists and Archeologists,"Life, Physical & Social Science",0.6965665,0.6970169222923424,1.3598637883684448,1.1332280419800815,218,55,-163,3,Highest Exposure Knowledge & Management
19-3092,Geographers,"Life, Physical & Social Science",1.436298,1.4372267491847894,1.3099836773694131,1.3398134618518125,15,72,57,3,Highest Exposure Knowledge & Management
19-3093,Historians,"Life, Physical & Social Science",1.098921,1.0996315936891898,1.0146716990539386,1.3451522013202752,147,145,-2,2,High Exposure Analytical & Office
19-3094,Political Scientists,"Life, Physical & Social Science",1.418863,1.4197804753247878,1.5165951780562148,1.646103010536094,22,31,9,3,Highest Exposure Knowledge & Management
19-3099,Transportation Planners,"Life, Physical & Social Science",1.328048,1.3289067523195657,1.5808433571047917,1.3323678112561406,72,19,-53,3,Highest Exposure Knowledge & Management
19-4021,Biological Technicians,"Life, Physical & Social Science",0.3012355,0.3014302924473001,0.18563439074341243,0.2710565424215902,265,299,34,1,Moderate Exposure Service & Healthcare
19-4031,Chemical Technicians,"Life, Physical & Social Science",0.0628057,0.0628463184188846,0.06727458907133031,-0.028616845859458364,296,321,25,1,Moderate Exposure Service & Healthcare
19-4051,Nuclear Technicians,"Life, Physical & Social Science",0.1696743,0.1697840220400474,-0.07924348638679733,-0.24165574633457124,278,344,66,1,Moderate Exposure Service & Healthcare
19-4061,Social Science Research Assistants,"Life, Physical & Social Science",1.204652,1.2054309617128112,1.0614280527953361,1.4171309415429134,119,130,11,2,High Exposure Analytical & Office
19-4092,Forensic Science Technicians,"Life, Physical & Social Science",0.2400518,0.2402070297017776,0.23995897463963933,-0.0027956218010910285,269,289,20,1,Moderate Exposure Service & Healthcare
19-4099,Quality Control Analysts,"Life, Physical & Social Science",0.4501044,0.4503954543995341,0.275916606437875,0.3875384661692606,251,280,29,1,Moderate Exposure Service & Healthcare
21-1012,"Educational, Guidance, and Career Counselors and Advisors",Community & Social Service,0.9739287,0.9745584708792396,1.4745246897649689,1.515455661112301,176,37,-139,3,Highest Exposure Knowledge & Management
21-1013,Marriage and Family Therapists,Community & Social Service,1.367434,1.3683182201859276,1.3079769656447793,1.508956422940945,42,73,31,3,Highest Exposure Knowledge & Management
21-1015,Rehabilitation Counselors,Community & Social Service,0.5025014,0.5028263354687917,1.110065273018919,1.1554595482111787,242,117,-125,3,Highest Exposure Knowledge & Management
21-1021,"Child, Family, and School Social Workers",Community & Social Service,0.7761707,0.7766725961441545,1.0640354346696972,0.8264106829046598,206,129,-77,3,Highest Exposure Knowledge & Management
21-1022,Healthcare Social Workers,Community & Social Service,0.9339648,0.9345687293298436,1.0646097495317208,1.0970562405016286,180,128,-52,3,Highest Exposure Knowledge & Management
21-1023,Mental Health and Substance Abuse Social Workers,Community & Social Service,1.119216,1.1199397168890024,1.31884302439953,1.2005710550943591,142,69,-73,3,Highest Exposure Knowledge & Management
21-1091,Health Education Specialists,Community & Social Service,0.691658,0.6921052483467263,1.2065789058470417,0.9079128439759683,220,98,-122,3,Highest Exposure Knowledge & Management
21-1092,Probation Officers and Correctional Treatment Specialists,Community & Social Service,0.5272448,0.527585735103295,0.4984600866801262,0.45689524380624125,236,248,12,1,Moderate Exposure Service & Healthcare
21-1093,Social and Human Service Assistants,Community & Social Service,0.4652255,0.4655263320401691,0.7369719955509644,0.7555312130868926,250,209,-41,3,Highest Exposure Knowledge & Management
21-1094,Community Health Workers,Community & Social Service,0.0371229,0.0371469113473819,0.6714775389723235,0.17134434127478218,302,216,-86,1,Moderate Exposure Service & Healthcare
21-2011,Clergy,Community & Social Service,1.282559,1.283388338117236,1.2720573044748882,1.331854572766112,96,86,-10,3,Highest Exposure Knowledge & Management
21-2021,"Directors, Religious Activities and Education",Community & Social Service,1.210922,1.2117050160347045,1.2172695853411653,1.0573786142579122,118,95,-23,3,Highest Exposure Knowledge & Management
23-1011,Lawyers,Legal,1.328783,1.3296422275869646,1.7093659551383138,1.6028403176749133,71,9,-62,3,Highest Exposure Knowledge & Management
23-1012,Judicial Law Clerks,Legal,1.462973,1.4639189978349496,0.8947613091941164,1.643668333690055,9,169,160,2,High Exposure Analytical & Office
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",Legal,1.374714,1.3756029275963555,1.0418255302609747,1.5028800685823211,37,135,98,2,High Exposure Analytical & Office
23-1022,"Arbitrators, Mediators, and Conciliators",Legal,1.431593,1.4325187068268137,0.9192706917011135,1.4396775258043033,18,164,146,2,High Exposure Analytical & Office
23-1023,"Judges, Magistrate Judges, and Magistrates",Legal,1.496494,1.4974616732614547,1.3067106150835595,1.614711816215028,5,74,69,2,High Exposure Analytical & Office
23-2011,Paralegals and Legal Assistants,Legal,1.292055,1.2928904784427062,0.8452203632829319,1.3477293686643284,90,179,89,2,High Exposure Analytical & Office
23-2093,"Title Examiners, Abstractors, and Searchers",Legal,1.279954,1.2807816536661143,0.7381839732522958,1.2642638677791531,97,208,111,2,High Exposure Analytical & Office
25-1011,"Business Teachers, Postsecondary",Education,1.349314,1.3501865033896423,1.3254624842238831,1.537353001867141,50,67,17,2,High Exposure Analytical & Office
25-1021,"Computer Science Teachers, Postsecondary",Education,1.277778,1.2786042466159646,1.3843804412218548,1.3396616812312903,99,49,-50,3,Highest Exposure Knowledge & Management
25-1022,"Mathematical Science Teachers, Postsecondary",Education,1.338676,1.3395416246214924,1.2924175491804673,1.531469450674521,64,77,13,2,High Exposure Analytical & Office
25-1031,"Architecture Teachers, Postsecondary",Education,1.222022,1.2228121935423624,1.4514233833665624,1.1236990579430914,114,43,-71,3,Highest Exposure Knowledge & Management
25-1032,"Engineering Teachers, Postsecondary",Education,1.351133,1.3520066795956271,1.45602934306649,1.2536191967397725,49,41,-8,3,Highest Exposure Knowledge & Management
25-1041,"Agricultural Sciences Teachers, Postsecondary",Education,0.7546685,0.7551564923418873,1.1622224380092137,0.7821853948484981,209,107,-102,3,Highest Exposure Knowledge & Management
25-1042,"Biological Science Teachers, Postsecondary",Education,1.227677,1.228470850191534,1.4664470937354515,1.3275201346711105,111,39,-72,3,Highest Exposure Knowledge & Management
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",Education,1.260278,1.2610929307255123,1.2282570235123855,0.9421401509261382,103,91,-12,3,Highest Exposure Knowledge & Management
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Education,1.306156,1.3070005964639213,1.3149928156667114,1.3548726048935111,82,70,-12,3,Highest Exposure Knowledge & Management
25-1052,"Chemistry Teachers, Postsecondary",Education,1.333947,1.3348095667445812,1.2462379048575374,1.3119836647105632,68,89,21,3,Highest Exposure Knowledge & Management
25-1053,"Environmental Science Teachers, Postsecondary",Education,1.347519,1.3483903427025934,1.3131290497736168,1.2850479619600585,53,71,18,3,Highest Exposure Knowledge & Management
25-1054,"Physics Teachers, Postsecondary",Education,1.044191,1.0448662040500796,1.2542373050349154,1.1159179122807825,154,88,-66,3,Highest Exposure Knowledge & Management
25-1061,"Anthropology and Archeology Teachers, Postsecondary",Education,1.321694,1.3225486436813978,1.6921378924860042,1.496058934984865,75,11,-64,3,Highest Exposure Knowledge & Management
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Education,1.308699,1.3095452408244597,1.4444676833236385,1.4879285427002638,81,44,-37,3,Highest Exposure Knowledge & Management
25-1063,"Economics Teachers, Postsecondary",Education,1.319012,1.3198649094403585,1.2125386453386822,1.4138881546064883,77,96,19,2,High Exposure Analytical & Office
25-1064,"Geography Teachers, Postsecondary",Education,1.318899,1.3197518363720373,1.3472661078351733,1.4448368511129044,78,60,-18,3,Highest Exposure Knowledge & Management
25-1065,"Political Science Teachers, Postsecondary",Education,1.368397,1.369281842883214,1.290932769309242,1.5777691195427201,40,78,38,2,High Exposure Analytical & Office
25-1066,"Psychology Teachers, Postsecondary",Education,1.33366,1.334522381163978,1.5622285395285425,1.5504972646735171,69,22,-47,3,Highest Exposure Knowledge & Management
25-1067,"Sociology Teachers, Postsecondary",Education,1.349229,1.3501014484267462,1.3729766496349822,1.6587609241943875,51,52,1,2,High Exposure Analytical & Office
25-1071,"Health Specialties Teachers, Postsecondary",Education,0.924754,0.9253519734210564,1.0160065406369905,0.9228431767815716,182,143,-39,3,Highest Exposure Knowledge & Management
25-1072,"Nursing Instructors and Teachers, Postsecondary",Education,0.5170682,0.5174025546866794,1.1239608048695966,0.6635484179950651,239,114,-125,3,Highest Exposure Knowledge & Management
25-1081,"Education Teachers, Postsecondary",Education,1.192988,1.1937594195101693,1.3559757663257903,1.4344503046817136,121,57,-64,3,Highest Exposure Knowledge & Management
25-1082,"Library Science Teachers, Postsecondary",Education,1.386292,1.3871884141894788,1.4740325857222019,1.4903610665301399,33,38,5,3,Highest Exposure Knowledge & Management
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Education,1.389999,1.3908978112183874,1.1359510688403391,1.4657971003242445,30,111,81,2,High Exposure Analytical & Office
25-1112,"Law Teachers, Postsecondary",Education,1.35645,1.3573271176864576,1.2895229013179776,1.6058903768622466,47,81,34,2,High Exposure Analytical & Office
25-1113,"Social Work Teachers, Postsecondary",Education,1.347327,1.3481982185511094,1.577037338973204,1.5924492110661415,55,20,-35,3,Highest Exposure Knowledge & Management
25-1121,"Art, Drama, and Music Teachers, Postsecondary",Education,0.7582769,0.7587672256138364,1.045539830883003,0.7421084811533389,208,132,-76,3,Highest Exposure Knowledge & Management
25-1122,"Communications Teachers, Postsecondary",Education,1.347435,1.3483062883863193,1.2957383271685259,1.4129138659650617,54,75,21,3,Highest Exposure Knowledge & Management
25-1123,"English Language and Literature Teachers, Postsecondary",Education,1.417833,1.418749809303807,1.5181650515516874,1.6118174982697808,23,30,7,3,Highest Exposure Knowledge & Management
25-1124,"Foreign Language and Literature Teachers, Postsecondary",Education,1.33412,1.334982678610241,1.0426493594511173,1.536059297069599,67,133,66,2,High Exposure Analytical & Office
25-1125,"History Teachers, Postsecondary",Education,1.43749,1.4384195199585847,1.3850505747091582,1.6385389012950724,14,48,34,2,High Exposure Analytical & Office
25-1126,"Philosophy and Religion Teachers, Postsecondary",Education,1.363522,1.3644036905994448,1.2901648535031298,1.5320217080063805,45,79,34,2,High Exposure Analytical & Office
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",Education,1.211652,1.2124354880689918,1.0779338389404651,1.2566015985521544,117,126,9,2,High Exposure Analytical & Office
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",Education,1.16489,1.1656432507164596,1.2112325501022476,1.1560132425456324,126,97,-29,3,Highest Exposure Knowledge & Management
25-1194,"Career/Technical Education Teachers, Postsecondary",Education,0.1622185,0.162323400953417,0.2816947747342816,0.02383238766872954,280,279,-1,1,Moderate Exposure Service & Healthcare
25-2011,"Preschool Teachers, Except Special Education",Education,0.0306372,0.0306570175490559,0.23173237305534214,0.39942401443738257,304,291,-13,2,High Exposure Analytical & Office
25-2012,"Kindergarten Teachers, Except Special Education",Education,0.3644047,0.364640339061422,0.7624420180851555,0.7247382569159341,260,203,-57,3,Highest Exposure Knowledge & Management
25-2021,"Elementary School Teachers, Except Special Education",Education,0.8869491,0.887522627929231,1.0741289291065002,0.9571887662812988,189,127,-62,3,Highest Exposure Knowledge & Management
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",Education,1.286445,1.2872768508915386,1.4031935046941961,1.2005525024919261,92,47,-45,3,Highest Exposure Knowledge & Management
25-2023,"Career/Technical Education Teachers, Middle School",Education,0.5199191,0.5202552981422274,0.8005636296703863,0.5220786311367309,238,192,-46,1,Moderate Exposure Service & Healthcare
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",Education,1.191325,1.192095344177265,1.337852400764424,1.1917574396062476,122,61,-61,3,Highest Exposure Knowledge & Management
25-2032,"Career/Technical Education Teachers, Secondary School",Education,0.3734505,0.3736919882775277,0.863425951131001,0.13682002855603825,259,175,-84,1,Moderate Exposure Service & Healthcare
25-2051,"Special Education Teachers, Preschool",Education,0.3750564,0.3752989266882978,0.5892096204181728,0.5764578795173185,257,230,-27,1,Moderate Exposure Service & Healthcare
25-2059,Adapted Physical Education Specialists,Education,-0.6632917,-0.6637205923603046,0.18814505969095066,0.006696398290424766,429,298,-131,1,Moderate Exposure Service & Healthcare
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Education,1.348951,1.3498232686657436,1.0063894005637157,1.3332539872371598,52,148,96,2,High Exposure Analytical & Office
25-3021,Self-Enrichment Teachers,Education,0.526352,0.5266923577988953,0.5366337658510199,0.6889837308275262,237,242,5,2,High Exposure Analytical & Office
25-4011,Archivists,Education,0.6765602,0.6769976857723911,0.8840725288742053,0.7638631472194252,221,170,-51,3,Highest Exposure Knowledge & Management
25-4012,Curators,Education,0.7366658,0.7371421513943995,0.9707719671082133,0.6962680201189441,211,153,-58,3,Highest Exposure Knowledge & Management
25-4013,Museum Technicians and Conservators,Education,-0.0912107,-0.0912696720216979,-0.05625286007772482,-0.08032218688969357,321,339,18,1,Moderate Exposure Service & Healthcare
25-4031,Library Technicians,Education,0.037965,0.0379895558680304,-0.14883242248555298,0.3567401258342273,301,353,52,4,Low Exposure Routine Service
25-9021,Farm and Home Management Educators,Education,0.8604031,0.8609594626933488,0.9631673123520664,0.6035466812835223,193,155,-38,3,Highest Exposure Knowledge & Management
25-9031,Instructional Coordinators,Education,1.301855,1.3026968153413594,1.6135490801993715,1.3748205863723986,84,14,-70,3,Highest Exposure Knowledge & Management
27-1011,Art Directors,Arts & Entertainment,1.02251,1.023171184631743,1.191691144694209,1.0875787352846962,163,103,-60,3,Highest Exposure Knowledge & Management
27-1012,Craft Artists,Arts & Entertainment,-0.9295284,-0.9301294469506748,-0.5505904318907495,-0.3155729410841791,500,407,-93,4,Low Exposure Routine Service
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",Arts & Entertainment,-0.5690498,-0.5694177534450829,-0.6307917300929388,-0.2146644906983367,409,425,16,4,Low Exposure Routine Service
27-1014,Special Effects Artists and Animators,Arts & Entertainment,0.7058651,0.7063215349745685,0.7824901423429375,0.7995278359939552,215,197,-18,2,High Exposure Analytical & Office
27-1021,Commercial and Industrial Designers,Arts & Entertainment,0.867039,0.867599653614346,0.6189575063417826,0.663312389474325,191,226,35,2,High Exposure Analytical & Office
27-1022,Fashion Designers,Arts & Entertainment,0.5801539,0.5805290473078384,0.7556192280131339,0.4960766396858367,232,206,-26,3,Highest Exposure Knowledge & Management
27-1023,Floral Designers,Arts & Entertainment,-0.2718452,-0.2720209743196313,-0.34577402907617494,-0.020512819682106657,352,373,21,4,Low Exposure Routine Service
27-1024,Graphic Designers,Arts & Entertainment,0.7156958,0.7161585917245266,0.9023588591821355,0.8753368447597462,213,167,-46,2,High Exposure Analytical & Office
27-1025,Interior Designers,Arts & Entertainment,1.12168,1.1224053101663782,1.2862234370832841,0.9312605144814688,141,82,-59,3,Highest Exposure Knowledge & Management
27-1026,Merchandise Displayers and Window Trimmers,Arts & Entertainment,-1.001413,-1.0020605291368907,-0.19078394456674477,-0.3160994947990612,522,359,-163,4,Low Exposure Routine Service
27-1027,Set and Exhibit Designers,Arts & Entertainment,-0.0519323,-0.0519658737318964,0.5877423313380608,0.40027270780876917,314,231,-83,1,Moderate Exposure Service & Healthcare
27-2012,Producers and Directors,Arts & Entertainment,0.9388108,0.9394178628615651,0.876564327130084,0.7198780646472784,179,173,-6,3,Highest Exposure Knowledge & Management
27-2021,Athletes and Sports Competitors,Arts & Entertainment,-1.814336,-1.815509183286252,-0.8900902857287484,-1.1681557416550565,645,483,-162,0,Low Exposure Manual & Technical
27-2022,Coaches and Scouts,Arts & Entertainment,0.1168668,0.1169423755323309,0.7012826333283461,0.27664139893172923,285,211,-74,1,Moderate Exposure Service & Healthcare
27-2023,"Umpires, Referees, and Other Sports Officials",Arts & Entertainment,-0.0325617,-0.0325827482697486,-0.2935719814937437,-0.052056158686640396,311,369,58,4,Low Exposure Routine Service
27-2032,Choreographers,Arts & Entertainment,-1.575769,-1.5767879205412558,-0.3624373046052398,-0.622991886563015,621,376,-245,1,Moderate Exposure Service & Healthcare
27-2041,Music Directors and Composers,Arts & Entertainment,0.8829641,0.8835350511393194,0.3020307510230729,0.22031462118290807,190,275,85,1,Moderate Exposure Service & Healthcare
27-3011,Broadcast Announcers and Radio Disc Jockeys,Arts & Entertainment,0.8493547,0.849903918551402,0.8325505112636767,0.8881227595673634,195,180,-15,2,High Exposure Analytical & Office
27-3031,Public Relations Specialists,Arts & Entertainment,1.284927,1.2857578693188696,1.6178833056046347,1.498655617466557,93,13,-80,3,Highest Exposure Knowledge & Management
27-3041,Editors,Arts & Entertainment,1.128221,1.1289505397229178,1.1462862084000092,1.2511982544107587,139,109,-30,2,High Exposure Analytical & Office
27-3042,Technical Writers,Arts & Entertainment,1.184001,1.1847666083154555,0.826456130020454,1.2229034443319848,123,182,59,2,High Exposure Analytical & Office
27-3043,Writers and Authors,Arts & Entertainment,0.9879274,0.988566222750992,0.8030512508914404,1.2694924665203073,172,191,19,2,High Exposure Analytical & Office
27-3091,Interpreters and Translators,Arts & Entertainment,1.111319,1.1120376105126082,0.8106599534116427,0.8882717395699615,144,188,44,2,High Exposure Analytical & Office
27-4011,Audio and Video Technicians,Arts & Entertainment,-0.0117747,-0.0117823069317587,-0.08440166835646562,-0.2522694777718748,308,345,37,1,Moderate Exposure Service & Healthcare
27-4012,Broadcast Technicians,Arts & Entertainment,0.1222249,0.1223039401993383,-0.07396541994032321,-0.3206917997807335,284,343,59,1,Moderate Exposure Service & Healthcare
27-4014,Sound Engineering Technicians,Arts & Entertainment,0.4715462,0.4718511191458136,0.24689928736066943,0.04284107859714504,248,286,38,1,Moderate Exposure Service & Healthcare
27-4021,Photographers,Arts & Entertainment,-0.1680973,-0.1682059886127162,0.09830983429675373,-0.2694811491975215,329,316,-13,1,Moderate Exposure Service & Healthcare
27-4031,"Camera Operators, Television, Video, and Film",Arts & Entertainment,-0.4470009,-0.4472899339032443,-0.31693249913537386,-0.6620650444733062,378,371,-7,0,Low Exposure Manual & Technical
27-4032,Film and Video Editors,Arts & Entertainment,0.985707,0.9863443869908116,0.8167041255268075,0.6977851193710366,174,185,11,3,Highest Exposure Knowledge & Management
29-1011,Chiropractors,Healthcare Practitioners,-0.1911757,-0.1912993116210708,0.4627513097498838,0.17625057194360794,338,253,-85,1,Moderate Exposure Service & Healthcare
29-1021,"Dentists, General",Healthcare Practitioners,-0.1813301,-0.1814473452364403,0.3833852484140677,-0.30772070942079455,331,266,-65,1,Moderate Exposure Service & Healthcare
29-1031,Dietitians and Nutritionists,Healthcare Practitioners,1.342809,1.343677297111506,1.358174211630864,1.442322487079807,60,56,-4,3,Highest Exposure Knowledge & Management
29-1041,Optometrists,Healthcare Practitioners,0.5040194,0.5043453170414606,1.0132823813618006,0.5356200549849729,241,146,-95,1,Moderate Exposure Service & Healthcare
29-1051,Pharmacists,Healthcare Practitioners,0.6058705,0.6062622762351753,0.7572448058572686,0.6494963329872699,231,204,-27,1,Moderate Exposure Service & Healthcare
29-1071,Physician Assistants,Healthcare Practitioners,0.1059147,0.1059831936601127,0.5108625844115412,0.15736903077042846,287,246,-41,1,Moderate Exposure Service & Healthcare
29-1081,Podiatrists,Healthcare Practitioners,0.6279185,0.6283245329639,0.7963372293163012,0.5516546256305913,227,193,-34,1,Moderate Exposure Service & Healthcare
29-1122,Occupational Therapists,Healthcare Practitioners,0.1151615,0.115235972847303,0.6158791386696807,0.38179951375551885,286,228,-58,1,Moderate Exposure Service & Healthcare
29-1123,Physical Therapists,Healthcare Practitioners,-0.3581922,-0.3584238082163656,0.4267369624112043,0.06765198163422456,363,261,-102,1,Moderate Exposure Service & Healthcare
