AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR,PRIM_STATE,PCT_RPT,MAJOR_SOC,MAJOR_TITLE
99,U.S.,1,0,Cross-industry,cross-industry,1235,27-1022,Fashion Designers,detailed,22030,4.2,,,,41.4,86110.0,2.5,17.92,25.2,35.48,48.48,71.64,37260.0,52410.0,73790.0,100830.0,149010.0,,,2019,,,27,"Arts, Design, Entertainment, Sports, and Media Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,43-5052,Postal Service Mail Carriers,detailed,326760,0.0,,,,27.04,56240.0,0.0,19.06,20.95,26.08,34.3,34.3,39640.0,43580.0,54250.0,71340.0,71340.0,,,2022,US,,43,Office and Administrative Support Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,202970,0.8,,,,39.05,81220.0,0.4,22.24,28.86,37.27,47.79,59.64,46260.0,60020.0,77520.0,99400.0,124050.0,,,2022,US,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,195010,1.3,,,,,68580.0,0.7,,,,,,45730.0,50450.0,62390.0,79580.0,101100.0,True,,2022,US,,25,Educational Instruction and Library Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-3022,Civil Engineering Technologists and Technicians,detailed,62350,2.1,,,,29.56,61480.0,1.2,17.99,22.26,28.67,35.86,41.22,37430.0,46300.0,59630.0,74590.0,85740.0,,,2022,US,,17,Architecture and Engineering Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,27-2021,Athletes and Sports Competitors,detailed,14370,7.3,,,,,259750.0,12.9,,,,,,24960.0,36750.0,62360.0,130770.0,,True,,2024,US,,27,"Arts, Design, Entertainment, Sports, and Media Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,29-2055,Surgical Technologists,detailed,109000,1.1,,,,24.09,50110.0,0.3,16.07,19.11,23.22,28.52,34.33,33420.0,39760.0,48300.0,59320.0,71400.0,,,2019,,,29,Healthcare Practitioners and Technical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed,102390,0.0,,,,24.61,51190.0,0.3,17.19,18.77,28.91,29.21,29.46,35760.0,39030.0,60140.0,60750.0,61270.0,,,2019,,,43,Office and Administrative Support Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detailed,23040,2.4,,,,46.86,97460.0,0.7,29.24,38.43,48.53,55.16,61.53,60820.0,79930.0,100940.0,114740.0,127970.0,,,2024,US,,49,"Installation, Maintenance, and Repair Occupations"
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-2171,Petroleum Engineers,detailed,18970,5.8,,,,73.83,153560.0,1.9,37.9,51.6,67.92,91.87,110.0,78840.0,107330.0,141280.0,191100.0,228790.0,,,2024,US,,17,Architecture and Engineering Occupations
