OCC_CODE,A_PCT10_2019,A_PCT10_2022,A_PCT10_2024,A_PCT25_2019,A_PCT25_2022,A_PCT25_2024,A_PCT75_2019,A_PCT75_2022,A_PCT75_2024,A_PCT90_2019,A_PCT90_2022,A_PCT90_2024,TOT_EMP_2019,TOT_EMP_2022,TOT_EMP_2024,real_median_wage_2019,real_median_wage_2022,real_median_wage_2024,OCC_TITLE,emp_change_pct_19_24,emp_change_pct_19_22,emp_change_pct_22_24,wage_change_pct_19_24,wage_change_pct_19_22,wage_change_pct_22_24
19-3051,45850.0,49960.0,55590.0,57960.0,62130.0,66210.0,94000.0,100500.0,104450.0,116280.0,121460.0,128550.0,38560.0,39880.0,43040.0,86469.05,85982.73999999999,83720.0,Urban and Regional Planners,11.618257261410788,3.423236514522822,7.923771313941826,-3.1792300250783403,-0.5624093244924192,-2.631621183507284
19-3091,39460.0,40260.0,44510.0,49760.0,50020.0,51240.0,81480.0,81120.0,83080.0,97950.0,100560.0,104510.0,6720.0,7350.0,8070.0,74048.21,69119.14,64910.0,Anthropologists and Archeologists,20.089285714285715,9.375,9.79591836734694,-12.34089250773247,-6.656568740824399,-6.089688037206481
19-3092,52280.0,57430.0,62390.0,63300.0,67430.0,75590.0,97620.0,105360.0,117190.0,113140.0,121060.0,133680.0,1400.0,1360.0,1380.0,94831.02,96100.9,97200.0,Geographers,-1.4285714285714286,-2.857142857142857,1.4705882352941175,2.498106632196929,1.339097691873387,1.1436937635339584
19-3093,29760.0,37280.0,38630.0,41880.0,47290.0,55190.0,89550.0,93340.0,96330.0,114810.0,123260.0,128500.0,3040.0,3120.0,3140.0,74059.84,69767.73999999999,74050.0,Historians,3.289473684210526,2.631578947368421,0.641025641025641,-0.0132865531440474,-5.795448653413248,6.137879770793794
19-3094,60960.0,65200.0,74750.0,87990.0,89810.0,103030.0,148960.0,163320.0,172050.0,164210.0,176280.0,191880.0,6010.0,5660.0,5950.0,142141.86000000002,138389.62,139380.0,Political Scientists,-0.9983361064891848,-5.823627287853577,5.123674911660777,-1.943030715934078,-2.639785352464094,0.7156461590110622
19-3099,52820.0,56120.0,62570.0,66480.0,70990.0,79210.0,105320.0,113780.0,127880.0,126070.0,137020.0,160810.0,33690.0,33210.0,36970.0,96912.79,96100.9,100340.0,"Social Scientists and Related Workers, All Other",9.735826654793708,-1.4247551202137132,11.321890996687744,3.5363856514707623,-0.8377532005837556,4.411092924207792
19-4021,29540.0,33480.0,38060.0,35870.0,39040.0,45380.0,59210.0,63060.0,66410.0,73350.0,79110.0,81990.0,79530.0,73710.0,76190.0,53335.18,53671.65,52000.0,Biological Technicians,-4.199673079341129,-7.317993210109392,3.3645366978700317,-2.503375820612212,0.6308594064930524,-3.1145865647879307
19-4031,31110.0,35770.0,39030.0,37700.0,41430.0,46680.0,64200.0,64370.0,72940.0,80350.0,81610.0,90990.0,65760.0,56030.0,55640.0,57289.380000000005,54958.04,57790.0,Chemical Technicians,-15.389294403892944,-14.796228710462286,-0.6960556844547563,0.8738443320559505,-4.069410421268311,5.152949413770941
19-4042,29040.0,32180.0,36130.0,35910.0,38780.0,38050.0,61030.0,62900.0,64170.0,80710.0,82690.0,85630.0,32620.0,33920.0,39390.0,54126.02,52298.78,49490.0,"Environmental Science and Protection Technicians, Including Health",20.754138565297364,3.9852851011649295,16.12617924528302,-8.565233505068363,-3.375899428777518,-5.370641533129452
19-4051,52860.0,63500.0,64370.0,64140.0,78410.0,83330.0,98430.0,107470.0,113710.0,117480.0,126050.0,126890.0,6420.0,5880.0,5990.0,95459.04,108554.02,104240.0,Nuclear Technicians,-6.697819314641744,-8.411214953271028,1.870748299319728,9.198667826535852,13.717904558855798,-3.9740766855064327
19-4061,28190.0,33860.0,36410.0,36840.0,41980.0,46190.0,61050.0,64100.0,73060.0,78800.0,82350.0,100620.0,35580.0,28720.0,32940.0,55254.130000000005,54558.07,58040.0,Social Science Research Assistants,-7.419898819561552,-19.280494659921303,14.69359331476323,5.041921753179347,-1.259742936862828,6.382062268698288
19-4071,29830.0,32550.0,36190.0,36160.0,35360.0,42560.0,53790.0,52830.0,66020.0,61370.0,62400.0,80790.0,19060.0,29120.0,31080.0,52916.5,44883.12,54310.0,Forest and Conservation Technicians,63.06400839454355,52.7806925498426,6.730769230769231,2.633394120926365,-15.1812383661051,21.00317446737216
19-4092,35620.0,39710.0,45560.0,45180.0,49320.0,53310.0,77200.0,82160.0,88710.0,97350.0,104330.0,110710.0,16520.0,17590.0,19450.0,68791.45,68902.94,67440.0,Forensic Science Technicians,17.736077481840194,6.476997578692494,10.574189880613986,-1.9645610028571825,0.1620695595164882,-2.1231895184733807
19-4099,30050.0,33270.0,37310.0,38010.0,39360.0,46270.0,63940.0,65740.0,77990.0,81710.0,90760.0,101870.0,64260.0,70770.0,71400.0,58789.65,54363.49,60130.0,"Life, Physical, and Social Science Technicians, All Other",11.11111111111111,10.130718954248366,0.8902077151335311,2.2799081130777243,-7.52880821709264,10.607321200312937
19-5011,43630.0,47160.0,50610.0,57400.0,60320.0,64410.0,92470.0,99070.0,105390.0,111130.0,121510.0,130460.0,92780.0,109430.0,128430.0,86178.3,84934.17,83910.0,Occupational Health and Safety Specialists,38.424229359775815,17.945677947833584,17.362697614913642,-2.6321011205837235,-1.4436696941109357,-1.2058397697887648
19-5012,32830.0,36180.0,40550.0,40090.0,46860.0,49510.0,68940.0,75510.0,74810.0,89720.0,94830.0,94670.0,20580.0,23670.0,31450.0,59952.65,62665.57,58440.0,Occupational Health and Safety Technicians,52.818270165208936,15.014577259475216,32.868610054921845,-2.523074459594365,4.52510439488496,-6.743048854418782
