OCC_CODE,OCC_TITLE,YEAR,A_MEAN,wage_eqw,wage_eqf,wage_entropy,wage_cluster
41-1012,First-Line Supervisors of Non-Retail Sales Workers,2022,96890.0,Very Low,Q5,"(87500.0, 171905.0]","(61812.893, 101799.419]"
41-2011,Cashiers,2022,28730.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
41-2012,Gambling Change Persons and Booth Cashiers,2022,32950.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
41-2021,Counter and Rental Clerks,2022,39320.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
41-2022,Parts Salespersons,2022,39250.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
41-2031,Retail Salespersons,2022,34730.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
41-3011,Advertising Sales Agents,2022,73260.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
41-3021,Insurance Sales Agents,2022,76950.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
41-3031,"Securities, Commodities, and Financial Services Sales Agents",2022,100740.0,Very Low,Q5,"(87500.0, 171905.0]","(61812.893, 101799.419]"
41-3041,Travel Agents,2022,48250.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2022,77390.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2022,109950.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2022,76890.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
41-9011,Demonstrators and Product Promoters,2022,38470.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
41-9012,Models,2022,77310.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
41-9021,Real Estate Brokers,2022,90930.0,Very Low,Q4,"(87500.0, 171905.0]","(61812.893, 101799.419]"
41-9022,Real Estate Sales Agents,2022,65850.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
41-9031,Sales Engineers,2022,125460.0,Low,Q5,"(87500.0, 171905.0]","(101799.419, 179850.373]"
41-9041,Telemarketers,2022,33600.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",2022,36280.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
41-9099,"Sales and Related Workers, All Other",2022,56440.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
