AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR,PRIM_STATE,PCT_RPT,MAJOR_SOC,MAJOR_TITLE
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,156460,1.5,,,,35.05,72900.0,0.5,19.82,25.23,32.28,42.39,54.08,41220.0,52480.0,67150.0,88180.0,112480.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9161,Emergency Management Directors,detailed,10060,1.4,,,,39.68,82530.0,0.8,19.44,25.99,35.86,49.68,67.9,40430.0,54050.0,74590.0,103330.0,141230.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9171,Funeral Home Managers,detailed,9400,3.3,,,,45.78,95220.0,3.6,21.21,27.42,36.71,53.52,77.82,44120.0,57020.0,76350.0,111310.0,161870.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,472060,0.5,,,,57.07,118710.0,0.3,25.67,37.07,53.19,70.99,91.99,53380.0,77100.0,110630.0,147660.0,191340.0,,,2019,,,11,Management Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,17060,12.4,,,,46.72,97170.0,4.0,17.93,24.32,35.45,57.9,91.07,37300.0,50590.0,73740.0,120430.0,189420.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,421280,0.7,,,,33.5,69680.0,0.3,18.38,23.69,30.95,40.69,51.69,38230.0,49280.0,64380.0,84630.0,107510.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,287960,1.4,,,,33.15,68940.0,0.4,19.76,24.53,32.11,39.93,48.27,41100.0,51030.0,66790.0,83050.0,100400.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1032,"Insurance Appraisers, Auto Damage",detailed,13750,5.5,,,,31.85,66240.0,0.9,21.36,25.69,30.42,37.41,45.06,44430.0,53430.0,63270.0,77810.0,93720.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1041,Compliance Officers,detailed,317600,0.6,,,,35.03,72850.0,0.2,18.71,24.54,33.2,43.88,52.86,38920.0,51050.0,69050.0,91260.0,109950.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1051,Cost Estimators,detailed,210000,0.9,,,,34.31,71350.0,0.3,18.93,24.66,31.37,41.38,53.53,39380.0,51300.0,65250.0,86080.0,111350.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,633040,0.5,,,,32.58,67760.0,0.2,17.88,22.81,29.77,39.15,50.93,37180.0,47450.0,61920.0,81430.0,105930.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1074,Farm Labor Contractors,detailed,160,10.8,,,,29.84,62060.0,7.9,16.3,18.58,29.77,39.1,46.15,33900.0,38640.0,61910.0,81330.0,95990.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1075,Labor Relations Specialists,detailed,75580,1.9,,,,34.55,71870.0,1.4,9.24,21.59,33.18,45.55,59.8,19230.0,44920.0,69020.0,94740.0,124380.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,182050,1.0,,,,37.83,78680.0,0.4,21.16,27.44,35.94,46.27,57.88,44020.0,57080.0,74750.0,96240.0,120400.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1111,Management Analysts,detailed,709750,0.7,,,,45.94,95560.0,0.4,23.9,30.8,40.99,54.7,74.19,49700.0,64060.0,85260.0,113770.0,154310.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1121,"Meeting, Convention, and Event Planners",detailed,117610,1.6,,,,26.39,54880.0,0.7,13.75,18.1,24.33,31.67,41.53,28590.0,37640.0,50600.0,65860.0,86390.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1131,Fundraisers,detailed,81660,1.5,,,,30.21,62830.0,0.8,16.12,21.13,27.87,36.84,48.27,33530.0,43940.0,57970.0,76620.0,100410.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,89300,1.8,,,,33.58,69840.0,0.6,19.3,24.04,31.04,39.86,50.77,40140.0,50000.0,64560.0,82920.0,105600.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1151,Training and Development Specialists,detailed,312450,0.7,,,,31.56,65640.0,0.3,15.71,21.48,29.43,39.08,50.1,32680.0,44680.0,61210.0,81290.0,104200.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1161,Market Research Analysts and Marketing Specialists,detailed,678500,0.7,,,,34.41,71570.0,0.4,16.51,22.5,30.67,43.07,58.96,34350.0,46800.0,63790.0,89580.0,122630.0,,,2019,,,13,Business and Financial Operations Occupations
