OCC_CODE,OCC_TITLE_FELTEN,AIOE,AIOE_z
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1.260278,1.2610929307255125
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.306156,1.3070005964639213
25-1052,"Chemistry Teachers, Postsecondary",1.333947,1.3348095667445812
25-1053,"Environmental Science Teachers, Postsecondary",1.347519,1.3483903427025934
25-1054,"Physics Teachers, Postsecondary",1.044191,1.0448662040500796
25-1061,"Anthropology and Archeology Teachers, Postsecondary",1.321694,1.3225486436813978
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1.308699,1.3095452408244597
25-1063,"Economics Teachers, Postsecondary",1.319012,1.3198649094403585
25-1064,"Geography Teachers, Postsecondary",1.318899,1.3197518363720373
25-1065,"Political Science Teachers, Postsecondary",1.368397,1.3692818428832139
25-1066,"Psychology Teachers, Postsecondary",1.33366,1.334522381163978
25-1067,"Sociology Teachers, Postsecondary",1.349229,1.3501014484267462
25-1071,"Health Specialties Teachers, Postsecondary",0.924754,0.9253519734210564
25-1072,"Nursing Instructors and Teachers, Postsecondary",0.5170682,0.5174025546866794
25-1081,"Education Teachers, Postsecondary",1.192988,1.1937594195101693
25-1082,"Library Science Teachers, Postsecondary",1.386292,1.3871884141894788
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1.389999,1.3908978112183874
25-1112,"Law Teachers, Postsecondary",1.35645,1.3573271176864576
25-1113,"Social Work Teachers, Postsecondary",1.347327,1.3481982185511094
25-1121,"Art, Drama, and Music Teachers, Postsecondary",0.7582769,0.7587672256138364
25-1122,"Communications Teachers, Postsecondary",1.347435,1.3483062883863193
25-1123,"English Language and Literature Teachers, Postsecondary",1.417833,1.4187498093038067
25-1124,"Foreign Language and Literature Teachers, Postsecondary",1.33412,1.334982678610241
25-1125,"History Teachers, Postsecondary",1.43749,1.4384195199585847
25-1126,"Philosophy and Religion Teachers, Postsecondary",1.363522,1.3644036905994448
25-1191,Graduate Teaching Assistants,1.111356,1.1120746344376338
25-1192,"Home Economics Teachers, Postsecondary",1.211652,1.2124354880689918
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",1.16489,1.1656432507164596
25-1194,"Vocational Education Teachers, Postsecondary",0.1622185,0.16232340095341705
25-2011,"Preschool Teachers, Except Special Education",0.0306372,0.030657017549055986
25-2012,"Kindergarten Teachers, Except Special Education",0.3644047,0.36464033906142207
25-2021,"Elementary School Teachers, Except Special Education",0.8869491,0.887522627929231
25-2022,"Middle School Teachers, Except Special and Vocational Education",1.286445,1.2872768508915386
25-2023,"Vocational Education Teachers, Middle School",0.5199191,0.5202552981422274
25-2031,"Secondary School Teachers, Except Special and Vocational Education",1.191325,1.192095344177265
25-2032,"Vocational Education Teachers, Secondary School",0.3734505,0.37369198827752775
25-2051,"Special Education Teachers, Preschool",0.3750564,0.37529892668829784
25-2052,"Special Education Teachers, Kindergarten and Elementary School",0.7357486,0.7362243583124153
25-2053,"Special Education Teachers, Middle School",1.296072,1.2969100759245316
25-2054,"Special Education Teachers, Secondary School",0.9587653,0.9593852658864808
25-2059,"Special Education Teachers, All Other",-0.6632917,-0.6637205923603046
25-3011,"Adult Literacy, Remedial Education, and GED Teachers and Instructors",1.348951,1.3498232686657436
25-3021,Self-Enrichment Education Teachers,0.526352,0.5266923577988953
25-3099,"Teachers and Instructors, All Other",1.32533,1.3261869948001226
25-4011,Archivists,0.6765602,0.6769976857723911
25-4012,Curators,0.7366658,0.7371421513943995
25-4013,Museum Technicians and Conservators,-0.0912107,-0.09126967202169799
25-4021,Librarians,1.037039,1.0377095794073075
25-4031,Library Technicians,0.037965,0.03798955586803047
25-9011,Audio-Visual Collections Specialists,0.4508702,0.4511617495829003
25-9021,Farm and Home Management Advisors,0.8604031,0.8609594626933488
25-9031,Instructional Coordinators,1.301855,1.3026968153413594
25-9041,Teacher Assistants,0.4516636,0.4519556626130422
27-1011,Art Directors,1.02251,1.023171184631743
27-1012,Craft Artists,-0.9295284,-0.9301294469506747
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.5690498,-0.5694177534450829
27-1014,Multi-Media Artists and Animators,0.7058651,0.7063215349745685
27-1021,Commercial and Industrial Designers,0.867039,0.867599653614346
27-1022,Fashion Designers,0.5801539,0.5805290473078384
27-1023,Floral Designers,-0.2718452,-0.27202097431963135
27-1024,Graphic Designers,0.7156958,0.7161585917245266
27-1025,Interior Designers,1.12168,1.1224053101663782
27-1026,Merchandise Displayers and Window Trimmers,-1.001413,-1.0020605291368907
27-1027,Set and Exhibit Designers,-0.0519323,-0.05196587373189649
27-2011,Actors,0.1590935,0.1591963802586935
27-2012,Producers and Directors,0.9388108,0.9394178628615651
27-2021,Athletes and Sports Competitors,-1.814336,-1.8155091832862522
27-2022,Coaches and Scouts,0.1168668,0.11694237553233093
27-2023,"Umpires, Referees, and Other Sports Officials",-0.0325617,-0.03258274826974862
27-2031,Dancers,-2.669758,-2.671484318237232
27-2032,Choreographers,-1.575769,-1.5767879205412558
27-2041,Music Directors and Composers,0.8829641,0.8835350511393194
27-2042,Musicians and Singers,-0.0040058,-0.004008383387682601
27-3011,Radio and Television Announcers,0.8493547,0.849903918551402
27-3012,Public Address System and Other Announcers,0.6650665,0.665496553689529
27-3021,Broadcast News Analysts,1.163517,1.164269362904026
27-3022,Reporters and Correspondents,1.186679,1.1874463399700057
27-3031,Public Relations Specialists,1.284927,1.2857578693188696
27-3041,Editors,1.128221,1.1289505397229178
27-3042,Technical Writers,1.184001,1.1847666083154555
27-3043,Writers and Authors,0.9879274,0.988566222750992
27-3091,Interpreters and Translators,1.111319,1.1120376105126082
27-4011,Audio and Video Equipment Technicians,-0.0117747,-0.011782306931758704
27-4012,Broadcast Technicians,0.1222249,0.12230394019933838
27-4013,Radio Operators,0.926126,0.9267248605868678
27-4014,Sound Engineering Technicians,0.4715462,0.4718511191458136
27-4021,Photographers,-0.1680973,-0.16820598861271624
27-4031,"Camera Operators, Television, Video, and Motion Picture",-0.4470009,-0.4472899339032443
27-4032,Film and Video Editors,0.985707,0.9863443869908115
29-1011,Chiropractors,-0.1911757,-0.19129931162107083
29-1021,"Dentists, General",-0.1813301,-0.18144734523644035
29-1022,Oral and Maxillofacial Surgeons,-0.2389668,-0.23912131441262374
29-1023,Orthodontists,0.1616631,0.16176764181938524
29-1024,Prosthodontists,-0.1561403,-0.1562412569497372
29-1031,Dietitians and Nutritionists,1.342809,1.343677297111506
29-1041,Optometrists,0.5040194,0.5043453170414606
29-1051,Pharmacists,0.6058705,0.6062622762351753
29-1061,Anesthesiologists,0.2349698,0.2351217435671904
29-1062,Family and General Practitioners,1.031925,1.032592272580806
29-1063,"Internists, General",1.046167,1.046843481775767
29-1064,Obstetricians and Gynecologists,0.2803215,0.2805027689882766
29-1065,"Pediatricians, General",1.126144,1.1268721966883768
29-1066,Psychiatrists,1.280753,1.2815811703173414
29-1067,Surgeons,-0.0504534,-0.05048601744215996
29-1069,"Physicians and Surgeons, All Other",0.7086123,0.7090705113753827
